filename	type	batch	analyte_001	analyte_002	analyte_003	analyte_004	analyte_005	analyte_006	analyte_007	analyte_008	analyte_009	analyte_010	analyte_011	analyte_012	analyte_013	analyte_014	analyte_015	analyte_016	analyte_017	analyte_018	analyte_019	analyte_020	analyte_021	analyte_022	analyte_023	analyte_024	analyte_025	analyte_026	analyte_027	analyte_028	analyte_029	analyte_030	analyte_031	analyte_032	analyte_033	analyte_034	analyte_035	analyte_036	analyte_037	analyte_038	analyte_039	analyte_040
metric_row_1	mean		15.79	84.19	49.93	32.63	56.82	84.97	76.19	61.57	86.70	37.83	87.56	37.77	99.89	0.17	12.19	34.85	58.42	2.78	29.50	86.94	97.87	68.72	80.72	40.57	8.85	5.25	12.46	85.56	52.05	11.27	6.93	56.92	75.00	48.61	27.68	93.82	57.84	33.80	27.55	87.59
metric_row_2	sd		89.38	83.31	5.15	63.94	8.60	68.63	2.60	17.47	79.67	3.59	40.94	43.63	18.83	70.36	64.38	59.41	45.92	35.06	25.08	66.21	88.24	17.38	32.41	79.06	7.87	27.32	94.42	39.15	86.25	82.37	10.35	1.62	60.51	58.32	33.57	71.60	41.72	20.79	23.33	62.04
metric_row_3	median		80.99	60.28	9.56	74.45	84.82	66.92	25.72	27.71	40.66	41.57	29.30	89.45	64.42	58.96	51.29	97.42	46.25	38.01	46.13	77.12	86.98	18.83	64.35	50.93	94.25	2.83	32.52	71.10	21.41	65.97	29.45	41.70	98.45	63.36	6.52	76.17	75.31	97.31	92.44	58.98
metric_row_4	mad		93.21	89.59	17.78	97.70	60.92	58.02	56.47	0.51	62.54	91.74	48.35	3.68	55.78	6.70	64.64	52.37	23.14	89.31	60.64	96.38	82.47	33.07	78.25	32.04	76.80	36.94	86.96	63.78	27.24	24.35	92.44	24.91	90.26	66.62	40.11	9.66	94.84	0.23	24.31	51.48
metric_row_5	min		18.03	59.89	61.48	28.39	11.21	67.74	91.16	93.62	46.67	87.57	51.44	7.62	29.76	88.62	94.61	50.77	33.65	64.57	17.92	69.61	4.69	10.72	15.07	73.88	86.84	96.78	17.11	61.95	26.88	36.83	27.35	50.85	13.60	92.59	43.37	11.98	35.57	74.79	64.51	37.77
metric_row_6	max		75.76	69.48	70.87	29.93	35.17	78.55	80.28	42.73	86.91	89.56	80.50	40.46	31.26	69.26	30.89	56.95	82.05	53.74	43.28	46.36	80.45	19.86	27.89	17.57	80.69	57.40	8.84	53.30	12.00	24.84	35.99	69.16	51.45	3.13	50.19	98.42	8.56	77.39	73.50	74.83
metric_row_7	CoV		16.03	5.80	5.08	5.60	16.14	26.90	6.57	26.49	16.31	8.77	23.14	23.47	20.97	19.35	23.18	12.55	23.74	14.18	29.45	29.93	26.12	19.98	14.05	27.08	9.05	18.15	2.04	16.61	72.24	89.08	82.74	67.38	58.80	31.46	80.43	39.11	87.07	83.71	36.70	40.80
metric_row_8	blank_ratio		35.37	33.08	60.56	30.01	47.25	93.41	17.29	97.73	69.48	67.24	7.05	91.62	83.15	41.26	71.98	69.57	56.66	88.97	32.12	82.81	87.22	64.22	12.06	91.39	6.60	2.59	69.71	96.38	5.43	39.47	24.10	11.99	63.09	8.84	12.18	87.51	30.70	86.83	36.48	10.72
metric_row_9	D_ratio		36.69	38.46	12.42	21.88	47.27	36.88	23.68	27.96	46.48	43.90	40.39	40.16	17.67	6.94	18.06	17.46	22.39	10.55	38.26	6.39	12.42	5.03	6.43	49.42	94.63	152.67	104.75	116.25	71.00	137.54	179.54	108.35	121.13	75.76	161.26	134.13	67.27	82.03	100.13	140.87
metric_row_10	SN		181.66	399.16	292.10	287.57	311.44	297.82	88.76	135.89	217.80	34.09	258.16	389.37	97.01	186.79	188.81	394.22	199.10	204.49	154.78	222.69	215.11	143.87	75.33	300.37	399.84	69.41	36.49	192.63	140.62	235.17	246.19	180.29	44.36	63.61	3.51	1.87	3.24	3.28	1.87	4.71
SYNTH_SUBJ001_T0.mzML	sample	1	12366.5	1957.7	2373.8	1882.5	2026.9	3189.9	5584.2	4061.4	824.3	7189.7	3097.3	3580.5	3409.6	2368.1	3734.9	2073.3	594.6	1618.9	1731.8	140.0	842.5	16111.9	2330.7	3805.1	3480.6	3627.5	1518.0	7898.8	458.4	3556.4	4019.7	17558.5	33176.3	5503.0	1494.0	3292.5	8077.7	3632.4	1053.1	4760.9
SYNTH_SUBJ001_T60.mzML	sample	2	4563.6	15465.1	2365.3	1016.9	8440.9	1304.2	2445.1	13012.8	1327.4	4359.0	7395.3	6950.8	991.8	2358.1	3494.0	3849.2	1174.0	2257.3	389.3	2810.3	1917.7	2492.0	2167.9	4285.6	2183.8	1021.0	2103.4	11734.7	362.6	3239.5	6005.8	16749.2	15227.5	765.8	1053.8	2126.9	1621.5	3469.5	858.0	1550.8
SYNTH_SUBJ001_T120.mzML	sample	1	1994.6	10119.0	331.9	7091.1	795.1	579.6	2698.4	954.9	16892.0	2351.9	2778.4	1143.1	4301.1	4936.0	24871.8	1590.1	870.9	2194.7	3762.6	7664.4	2881.6	1474.2	4182.1	8813.2	3171.5	3998.1	6720.8	11197.6	4030.4	5575.3	4876.6	2187.3	1530.0	5827.9	1067.6	5689.3	5527.3	9507.9	3129.9	3455.2
SYNTH_SUBJ002_T0.mzML	sample	2	2736.4	5959.6	1252.2	2194.2	1964.7	1282.2	5657.6	2168.2	2067.7	2154.6	8596.1	7991.6	13141.7	3565.3	3235.0	7180.0	1348.5	11149.5	2113.6	1055.3	3055.2	6415.7	833.4	745.7	3122.9	5075.1	11011.2	23592.1	15976.5	5777.2	1289.2	1541.8	8660.5	877.4	600.8	2426.5	16427.6	10429.9	1950.1	7464.8
SYNTH_SUBJ002_T60.mzML	sample	1	939.5	4353.9	2507.0	930.0	3963.0	2566.7	1067.7	3427.8	614.6	9384.0	17175.2	4115.2	2421.3	5868.2	2531.6	1766.6	574.3	285.7	3529.7	7896.6	3697.0	2904.2	1982.1	5154.4	3672.8	2461.2	2010.4	14204.7	5143.7	5087.9	2047.3	4507.6	1232.0	2569.9	6066.9	2711.7	3680.5	2152.5	5639.1	2782.8
SYNTH_SUBJ002_T120.mzML	sample	2	506.1	3564.6	6890.1	25721.6	3027.3	18815.0	975.6	21532.7	3856.7	19989.6	7187.5	1632.6	1487.1	3002.7	2091.9	37560.4	6130.8	2475.3	1539.2	10744.2	643.9	1483.4	12428.9	21304.9	8723.5	1290.6	9112.8	1508.3	2845.3	2918.2	5405.1	4736.4	745.7	3553.9	1914.9	682.7	314.2	1138.3	3157.8	7883.2
SYNTH_SUBJ003_T0.mzML	sample	1	8676.2	6295.8	1369.5	1807.8	6044.5	1321.3	12678.0	4520.6	2511.8	9953.2	5536.5	2321.0	4650.9	7006.0	1573.3	3167.1	1376.0	1076.7	1201.5	7518.3	1681.0	9689.7	667.6	2836.8	12469.2	4393.1	1400.1	2400.2	2249.9	1388.1	13289.6	5398.3	1478.5	5102.8	2398.5	4467.6	3777.6	3930.0	7088.3	3318.1
SYNTH_SUBJ003_T60.mzML	sample	2	4645.2	9501.1	2177.6	23914.1	4286.1	1183.3	7815.7	831.4	1882.3	4546.3	2379.8	3059.1	7646.9	6214.4	3560.5	3916.5	4865.6	2306.3	5686.6	2399.0	2038.2	1999.1	1165.4	1594.8	1324.5	7179.5	2918.9	4181.9	1608.0	1975.5	10281.4	6838.2	2529.9	1445.0	6166.1	9763.5	5611.9	4823.6	2811.5	323.5
SYNTH_SUBJ003_T120.mzML	sample	1	9150.9	6845.0	2856.8	1782.2	1111.3	454.5	7106.5	4079.5	4210.3	1246.5	1839.2	26511.2	3772.9	1633.7	5386.7	3222.0	1657.6	17114.0	5009.8	447.4	1693.2	7162.5	24911.3	2729.6	1050.6	944.3	8021.5	7282.0	3445.2	1530.4	2922.5	3342.9	2428.3	3667.8	5749.3	1697.8	2385.4	12630.4	6091.5	1405.5
SYNTH_SUBJ004_T0.mzML	sample	2	31251.3	6466.1	3061.9	1321.6	2358.9	5635.5	6259.7	5576.5	790.2	2650.0	64612.9	372.1	1011.2	12294.9	1821.5	1020.3	2517.5	1877.9	1653.7	1593.7	2454.0	3295.0	37851.3	726.7	5150.0	3646.4	5242.3	3409.0	4810.6	2597.8	8168.9	2610.6	5654.9	2194.3	3361.2	8962.3	2007.2	6088.3	593.1	3800.2
SYNTH_SUBJ004_T60.mzML	sample	1	2186.5	3156.0	4644.1	6498.4	33640.2	3667.9	483.9	10005.0	3205.9	1806.3	1793.2	3534.7	9290.1	5508.9	2207.3	2208.4	7732.3	45585.2	4723.3	11556.9	574.2	667.2	4814.5	941.6	991.0	3484.1	1493.6	1549.4	10108.1	4239.8	3696.1	1518.4	1529.0	11378.9	5410.3	3732.4	246.3	6309.5	7724.0	12958.6
SYNTH_SUBJ004_T120.mzML	sample	2	7699.0	2235.4	5859.8	13745.2	2060.1	1693.3	7627.1	3828.3	8050.6	7100.9	14491.4	4372.3	8156.5	12352.8	1253.8	1017.4	6633.9	11744.9	2120.7	10064.6	19657.5	2239.3	6024.5	5055.7	1505.8	205.5	1334.9	9201.9	2297.2	795.5	343.2	8306.6	1428.4	2052.2	2225.0	3534.3	2665.6	755.8	564.0	4739.2
